Date,Rating
Wednesday 9th May,6
Monday 30th April,6
Tuesday 17th April,7
Saturday 7th April,6
Sunday 1st April,7
Sunday 11th March,9
Saturday 3rd March,9
Saturday 10th February,7
Sunday 4th February,6
Wednesday 31st January,8
Sunday 21st January,5
Saturday 13th January,9
Thursday 4th January,7
Tuesday 2nd January,8
Tuesday 26th December,7
Saturday 23rd December,6
Saturday 16th December,7
Wednesday 13th December,9
Saturday 2nd December,7
Saturday 25th November,6
Sunday 5th November,7
Saturday 28th October,5
Sunday 22nd October,8
Saturday 14th October,5
Saturday 16th September,6
Sunday 27th August,5
